price,release_date,app_name,developer
0.0,2018-01-01,Tactics Forever,ProjectorGames
0.0,2018-01-01,Tactics Forever,ProjectorGames
0.0,2018-01-01,Tactics Forever,ProjectorGames
0.0,2018-01-01,Tactics Forever,ProjectorGames
0.0,2018-01-01,Tactics Forever,ProjectorGames
0.0,2018-01-01,Tactics Forever,ProjectorGames
0.0,2018-01-01,Tactics Forever,ProjectorGames
0.0,2017-12-30,Christmas Santa Troubles,Unknown Indie Devs
0.0,2017-12-30,Christmas Santa Troubles,Unknown Indie Devs
0.0,2017-12-30,Christmas Santa Troubles,Unknown Indie Devs
0.99,2018-01-01,Bitcoin Clicker,"lalalaZero,Urbanoff"
0.99,2018-01-01,Bitcoin Clicker,"lalalaZero,Urbanoff"
0.99,2018-01-01,Bitcoin Clicker,"lalalaZero,Urbanoff"
0.99,2018-01-01,Bitcoin Clicker,"lalalaZero,Urbanoff"
6.99,2006-07-06,Disciples II: Gallean's Return,Strategy First
6.99,2006-07-06,Disciples II: Rise of the Elves,Strategy First
9.99,2006-07-11,The Ship: Murder Party,Outerlight Ltd.
9.99,2006-07-11,The Ship: Murder Party,Outerlight Ltd.
9.99,2006-07-11,The Ship: Murder Party,Outerlight Ltd.
7.99,2017-12-29,Souland,Ultraint
7.99,2017-12-29,Souland,Ultraint
7.99,2017-12-29,Souland,Ultraint
7.99,2017-12-29,Souland,Ultraint
0.0,2018-03-30,Darkness and a Crowd,Seth Albertus
0.0,2018-03-30,Darkness and a Crowd,Seth Albertus
0.0,2018-03-30,Darkness and a Crowd,Seth Albertus
0.0,2018-03-30,Darkness and a Crowd,Seth Albertus
0.0,2018-03-30,Darkness and a Crowd,Seth Albertus
10.99,2017-12-29,TAROTICA VOO DOO,TPM.CO SOFT WORKS
10.99,2017-12-29,TAROTICA VOO DOO,TPM.CO SOFT WORKS
10.99,2017-12-29,TAROTICA VOO DOO,TPM.CO SOFT WORKS
10.99,2017-12-29,TAROTICA VOO DOO,TPM.CO SOFT WORKS
9.99,2017-12-29,Chronicles of Vinland,Wonderbox Games
9.99,2017-12-29,Chronicles of Vinland,Wonderbox Games
9.99,2017-12-29,Chronicles of Vinland,Wonderbox Games
9.99,2017-12-29,Orbitality,Wonderbox Games
9.99,2017-12-29,Orbitality,Wonderbox Games
1.99,2017-12-30,Atomic Adam: Episode 1,Mad Unicorn Games
1.99,2017-12-30,Atomic Adam: Episode 1,Mad Unicorn Games
1.99,2017-12-30,Atomic Adam: Episode 1,Mad Unicorn Games
9.99,2005-08-09,Advent Rising,GlyphX Games
9.99,2006-09-29,DEFCON,Introversion Software
9.99,2006-09-29,DEFCON,Introversion Software
9.99,2006-11-20,The Ship: Single Player,Outerlight Ltd.
9.99,2006-11-20,The Ship: Single Player,Outerlight Ltd.
9.99,2006-11-20,The Ship: Single Player,Outerlight Ltd.
9.99,2006-11-29,Garry's Mod,Facepunch Studios
9.99,2006-11-29,Garry's Mod,Facepunch Studios
39.99,2006-11-24,RACE - The WTCC Game,SimBin
0.0,2006-12-14,Zen of Sudoku,Unknown Worlds Entertainment
0.0,2006-12-14,Zen of Sudoku,Unknown Worlds Entertainment
4.99,2006-12-19,Gumboy - Crazy Adventures™,"CINEMAX, s.r.o."
4.99,2006-12-19,Gumboy - Crazy Adventures™,"CINEMAX, s.r.o."
4.99,2003-08-23,Ghost Master®,Sick Puppies
4.99,2006-12-21,Vegas: Make It Big™,Deepred
19.99,2006-04-17,Dreamfall: The Longest Journey,Funcom
19.99,2006-04-17,Dreamfall: The Longest Journey,Funcom
9.99,2006-08-01,FlatOut 2™,Bugbear Entertainment
7.49,2005-07-12,FlatOut,Bugbear Entertainment
14.99,2007-06-26,Lost Planet™: Extreme Condition,"CAPCOM Co., Ltd."
14.99,2007-06-26,Lost Planet™: Extreme Condition,"CAPCOM Co., Ltd."
9.99,2006-07-24,CivCity: Rome,"FireFly Studios,Firaxis Games"
4.99,2002-11-12,Arx Fatalis,Arkane Studios
9.99,2000-11-17,The Longest Journey,Funcom
9.99,2000-11-17,The Longest Journey,Funcom
9.99,2000-11-17,The Longest Journey,Funcom
4.99,2006-07-24,Civilization IV®: Warlords,Firaxis Games
9.99,2003-10-23,Railroad Tycoon 3,PopTop
9.99,2006-10-16,Sid Meier's Railroads!,"Firaxis Games,Feral Interactive (Mac)"
4.99,1998-10-31,Railroad Tycoon II Platinum,PopTop
4.99,1995-04-01,X-COM: Terror From the Deep,"MicroProse Software, Inc"
8.99,2007-06-05,Tomb Raider: Anniversary,"Crystal Dynamics,Feral Interactive (Mac)"
8.99,2007-06-05,Tomb Raider: Anniversary,"Crystal Dynamics,Feral Interactive (Mac)"
19.99,2006-05-23,Devil May Cry® 3 Special Edition,"CAPCOM Co., Ltd."
19.99,2006-10-17,Sam & Max 101: Culture Shock,Telltale Games
19.99,2006-10-17,Sam & Max 101: Culture Shock,Telltale Games
4.99,1996-06-17,Final DOOM,id Software
19.99,2006-12-20,Sam & Max 102: Situation: Comedy,Telltale Games
19.99,2006-12-20,Sam & Max 102: Situation: Comedy,Telltale Games
4.99,1995-04-30,Ultimate Doom,id Software
14.99,1995-06-01,Master Levels for Doom II,id Software
4.99,1994-05-05,DOOM II,id Software
4.99,1994-08-03,Wolfenstein 3D,id Software
4.99,2001-11-20,Return to Castle Wolfenstein,Gray Matter Studios
2.99,1997-02-28,QUAKE Mission Pack 1: Scourge of Armagon,Ritual Entertainment
2.99,1993-10-10,Spear of Destiny,id Software
9.99,2003-09-09,BloodRayne,Terminal Reality
2.99,2007-08-03,QUAKE Mission Pack 2: Dissolution of Eternity,Rogue Entertainment
4.99,2007-05-31,QUAKE,id Software
4.99,2007-03-20,Genesis Rising,Metamorf
12.99,2006-01-01,"Warhammer® 40,000: Dawn of War® – Winter Assault",Relic Entertainment
19.99,2007-08-21,BioShock™,"2K Boston,2K Australia"
19.99,2007-08-21,BioShock™,"2K Boston,2K Australia"
12.99,2006-01-01,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",Relic Entertainment
12.99,2006-10-09,"Warhammer® 40,000: Dawn of War® - Dark Crusade",Relic Entertainment
9.99,2004-09-22,Rome: Total War™ - Collection,The Creative Assembly
4.99,2006-06-26,Rome: Total War™ - Alexander,The Creative Assembly
6.99,2007-12-14,Mystery Case Files: Madame Fate®,Big Fish Games
0.0,1998-06-30,Grand Theft Auto,Rockstar North
0.0,1999-10-25,Grand Theft Auto 2,Rockstar North
9.99,2004-04-20,Manhunt,Rockstar North
9.99,2003-07-01,Midnight Club 2,Rockstar San Diego
9.99,2003-10-14,Max Payne 2: The Fall of Max Payne,Remedy Entertainment
6.99,2006-04-07,Tomb Raider: Legend,Crystal Dynamics
6.99,2006-04-07,Tomb Raider: Legend,Crystal Dynamics
9.99,2001-07-25,Max Payne,Remedy Entertainment
19.99,2008-10-28,Command & Conquer: Red Alert 3,EA Los Angeles
9.99,2007-10-10,PuzzleQuest: Challenge of the Warlords,Infinite Interactive
9.99,2007-10-23,Culpa Innata,Momentum Digital Media Technologies
9.99,2007-10-23,Culpa Innata,Momentum Digital Media Technologies
9.99,2007-10-23,Culpa Innata,Momentum Digital Media Technologies
9.99,2007-08-01,Prison Tycoon 3™: Lockdown,"Gamebryo,Virtual Playground"
9.99,2007-09-01,Hunting Unlimited™ 2008,SCS Software
9.99,2007-09-01,Hunting Unlimited™ 2008,SCS Software
9.99,2007-09-01,Hunting Unlimited™ 2008,SCS Software
9.99,2007-12-03,18 Wheels of Steel: American Long Haul,SCS Software
5.99,2008-02-08,Conflict: Denied Ops,Pivotal Games
7.99,2007-05-08,ARMA: Combat Operations,Bohemia Interactive
9.99,2006-05-02,Desperados 2: Cooper's Revenge,Spellbound
4.99,2007-10-16,Death to Spies,Haggard Games
4.99,2007-10-16,Death to Spies,Haggard Games
2.99,2006-05-30,Act of War: High Treason,Eugen Systems
19.99,2006-10-26,RollerCoaster Tycoon® 3: Platinum,"Frontier,Aspyr (Mac)"
19.99,2006-10-26,RollerCoaster Tycoon® 3: Platinum,"Frontier,Aspyr (Mac)"
2.99,2005-03-14,Act of War: Direct Action,Eugen Systems
14.99,2003-02-03,Unreal 2: The Awakening,"Epic Games, Inc."
9.99,1998-04-30,Unreal Gold,"Epic Games, Inc."
4.99,2008-03-21,Ninja Reflex: Steamworks Edition,Sanzaru Games
4.99,2008-03-21,Ninja Reflex: Steamworks Edition,Sanzaru Games
9.99,2003-02-18,Tom Clancy's Splinter Cell®,Ubisoft
9.99,2004-03-23,Far Cry®,Crytek Studios
9.99,2000-10-25,Unreal Tournament: Game of the Year Edition,"Epic Games, Inc."
9.99,2006-12-12,Tom Clancy's Rainbow Six® Vegas,Ubisoft Montreal
9.99,2005-03-15,Silent Hunter® III,Ubisoft
9.99,2008-05-28,Virtual Villagers - The Secret City,Last Day of Work
9.99,2008-05-28,Virtual Villagers - The Secret City,Last Day of Work
4.99,2008-06-04,Mystery P.I.™ - The Vegas Heist,SpinTop Games
9.99,2008-06-10,Luxor,MumboJumbo
9.99,2008-06-10,Reaxxion,MumboJumbo
9.99,2008-06-10,Little Farm,MumboJumbo
9.99,2008-06-10,7 Wonders II,MumboJumbo
9.99,2005-12-08,Luxor Amun Rising,MumboJumbo
9.99,2007-11-13,Luxor 3,MumboJumbo
9.99,2007-11-13,Petz® Horsez® 2,Ubisoft
9.99,2005-12-08,Luxor 2,MumboJumbo
9.99,2007-03-27,Rayman Raving Rabbids™,"Ubisoft Bulgaria,Ubisoft Montpellier"
9.99,2007-03-27,Rayman Raving Rabbids™,"Ubisoft Bulgaria,Ubisoft Montpellier"
9.99,2007-03-20,Silent Hunter®: Wolves of the Pacific,Ubisoft Romania
9.99,2006-12-15,IL-2 Sturmovik: 1946,1C: Maddox Games
9.99,2008-03-24,Silent Hunter®: Wolves of the Pacific U-Boat Missions,Ubisoft Romania
9.99,2005-09-15,Bone: Out From Boneville,Telltale Games
9.99,2005-07-02,Midnight Outlaw: 6 Hours to SunUp,"Merscom,Babylon"
9.99,2006-04-12,Bone: The Great Cow Race,Telltale Games
9.99,2008-07-29,Sprint Cars Road to Knoxville,BigAnt Studios
9.99,2007-07-02,Ride! Carnival Tycoon,Gabriel Entertainment
9.99,2007-08-08,Mahjongg Investigations: Under Suspicion,Zemnott
9.99,2008-05-20,Dracula Origin,Frogwares
0.0,2008-07-08,Beijing 2008™ - The Official Video Game of the Olympic Games,Eurocom
9.99,2008-04-14,Sherlock Holmes - Nemesis,Frogwares
9.99,2008-04-14,Sherlock Holmes - Nemesis,Frogwares
4.99,2008-07-31,Eternity's Child,"Luc Bernard,SilverSphereStudios"
4.99,2008-07-31,Eternity's Child,"Luc Bernard,SilverSphereStudios"
7.99,2007-05-25,Pacific Storm Allies,Lesta Studio
7.99,2007-05-25,Pacific Storm Allies,Lesta Studio
4.99,2008-08-21,Tank Universal,Dialogue Design
4.99,2008-08-21,Tank Universal,Dialogue Design
19.99,2008-08-19,FlatOut: Ultimate Carnage,Bugbear Entertainment
2.99,1998-11-17,Oddworld: Abe's Exoddus®,Oddworld Inhabitants
2.99,1997-12-12,Oddworld: Abe's Oddysee®,Oddworld Inhabitants
7.99,2008-09-01,GTR Evolution Expansion Pack for RACE 07,SimBin
4.99,2001-04-19,X-COM: Enforcer,"MicroProse Software, Inc"
4.99,1997-07-15,X-COM: Apocalypse,"MicroProse Software, Inc"
4.99,1993-12-31,X-COM: UFO Defense,"MicroProse Software, Inc"
9.99,2008-09-15,S.T.A.L.K.E.R.: Clear Sky,GSC Game World
9.99,2008-09-15,S.T.A.L.K.E.R.: Clear Sky,GSC Game World
19.99,2008-09-17,Crysis Warhead®,Crytek
19.99,2007-11-13,Crysis,Crytek
4.99,1998-06-15,X-COM: Interceptor,"MicroProse Software, Inc"
9.99,2008-09-16,The Witcher: Enhanced Edition Director's Cut,CD PROJEKT RED
9.99,2008-09-16,The Witcher: Enhanced Edition Director's Cut,CD PROJEKT RED
9.99,2008-09-19,Multiwinia,Introversion Software
2.99,2008-10-22,STCC - The Game 1 - Expansion Pack for RACE 07,SimBin
2.49,2008-08-28,Children of the Nile: Alexandria,"Tilted Mill Entertainment, Inc."
2.49,2008-08-28,Children of the Nile: Alexandria,"Tilted Mill Entertainment, Inc."
19.99,2008-09-23,Sid Meier's Civilization IV: Colonization,Firaxis Games
9.99,2003-03-18,Tom Clancy's Rainbow Six® 3 Gold,"Red Storm Entertainment,Ubisoft Montreal"
19.99,2008-09-29,LEGO Batman,Traveller's Tales
19.99,2008-09-29,LEGO Batman,Traveller's Tales
9.99,2008-07-18,City Life 2008,Monte Cristo
9.99,2008-07-18,City Life 2008,Monte Cristo
9.99,2008-09-30,Hinterland,"Tilted Mill Entertainment, Inc."
9.99,2008-09-30,Hinterland,"Tilted Mill Entertainment, Inc."
9.99,2008-10-08,Brothers in Arms: Hell's Highway™,Gearbox Software
4.99,2008-08-31,Gravitron 2,Dark Castle Software
4.99,2008-08-31,Gravitron 2,Dark Castle Software
4.99,2006-12-01,Xpand Rally Xtreme,Techland
9.99,2006-11-14,Heroes of Might & Magic V: Hammers of Fate,Nival
9.99,2005-10-04,Brothers in Arms: Earned in Blood™,Gearbox Software
9.99,2007-10-16,Heroes of Might & Magic V: Tribes of the East,Nival
19.99,2008-04-18,The Settlers®: Rise Of An Empire Gold Edition,Blue Byte
9.99,2007-09-25,Brain Spa,Ubisoft
9.99,2002-05-31,The Sum of All Fears,Red Storm Entertainment
4.99,2008-10-15,Peggle™ Nights,"PopCap Games, Inc."
9.99,2008-10-13,World of Goo,2D BOY
15.99,2008-10-16,X3: Terran Conflict,Egosoft
15.99,2008-10-16,X3: Terran Conflict,Egosoft
15.99,2008-10-16,X3: Terran Conflict,Egosoft
0.0,2008-10-17,Mare Nostrum,Sandstorm Productions
4.99,2008-10-20,Spectraball,Shorebound Studios
4.99,2008-10-20,Spectraball,Shorebound Studios
19.99,2008-10-21,Galactic Bowling,Perpetual FX Creative
19.99,2008-10-21,Galactic Bowling,Perpetual FX Creative
19.99,2008-10-21,Galactic Bowling,Perpetual FX Creative
14.99,2008-10-21,Bully: Scholarship Edition,Rockstar New England
14.99,2008-10-21,Bully: Scholarship Edition,Rockstar New England
9.99,2008-10-22,Far Cry® 2: Fortune's Edition,Ubisoft Montreal
4.99,2008-10-23,Space Trader: Merchant Marine,Meridian4
4.99,2008-10-23,Space Trader: Merchant Marine,Meridian4
4.99,2008-10-23,Space Trader: Merchant Marine,Meridian4
4.99,2009-01-01,PRR Wagon Pack 01,RailSimulator.com
4.99,2009-01-01,"Class 421 London South East ""Jaffa Cake""",RailSimulator.com
4.99,2009-01-01,ATSF Wagon Pack 01,RailSimulator.com
4.99,2009-01-01,GP20 Union Pacific Add-on Livery,Reppo
4.99,2009-01-01,UK Van Wagon Pack,RailSimulator.com
4.99,2009-01-01,CSX SD70MAC Add-on Livery,Dovetail Games
4.99,2009-01-01,CSX ES44AC Add-on Livery,Dovetail Games
9.99,2009-01-28,Saints Row 2,Volition
19.99,2008-10-20,Dead Space,EA Redwood Shores
9.99,2008-12-16,Rise of the Argonauts,Liquid Entertainment
19.99,2009-01-13,Mirror's Edge™,DICE
19.99,2009-01-13,Mirror's Edge™,DICE
9.99,2008-12-08,Defense Grid: The Awakening,Hidden Path Entertainment
9.99,2008-12-08,Defense Grid: The Awakening,Hidden Path Entertainment
14.99,2009-02-12,F.E.A.R. 2: Project Origin,Monolith
7.99,2008-03-05,Harvest: Massive Encounter,Oxeye Game Studio
7.99,2008-03-05,Harvest: Massive Encounter,Oxeye Game Studio
9.99,2007-07-04,Mayhem Intergalactic,Inventive Dingo
9.99,2007-07-04,Mayhem Intergalactic,Inventive Dingo
4.99,2009-03-19,Larva Mortus,Meridian4
4.99,2009-03-19,Larva Mortus,Meridian4
9.99,2005-05-10,Knights of Honor,Black Sea Studios Ltd
5.99,2009-02-27,Ceville,Realmforge Studios
5.99,2009-02-27,Ceville,Realmforge Studios
5.99,2009-02-27,Ceville,Realmforge Studios
2.99,2009-03-04,Empire: Total War™ - Special Forces Units & Bonus Content,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
4.99,2009-03-04,Watchmen: The End is Nigh,Deadline Games
9.99,2007-03-30,Penumbra Overture,Frictional Games
9.99,2007-03-30,Penumbra Overture,Frictional Games
9.99,2007-03-30,Penumbra Overture,Frictional Games
19.99,2007-11-19,Unreal Tournament 3 Black,"Epic Games, Inc."
9.99,2009-02-27,Drakensang,Radon Labs
0.0,2009-03-09,Age of Booty™,Certain Affinity™
0.0,2009-03-09,Age of Booty™,Certain Affinity™
4.99,2008-03-21,The Graveyard,Tale of Tales
4.99,2008-03-21,The Graveyard,Tale of Tales
19.99,2009-02-03,Burnout Paradise: The Ultimate Box,Criterion Games
9.99,2009-03-09,The Maw,Twisted Pixel Games
9.99,2009-03-09,The Maw,Twisted Pixel Games
1.25,2009-03-16,The Maw: River Redirect,Twisted Pixel Games
1.25,2009-03-16,The Maw: River Redirect,Twisted Pixel Games
1.25,2009-03-16,The Maw: Brute Force,Twisted Pixel Games
1.25,2009-03-16,The Maw: Brute Force,Twisted Pixel Games
4.99,2009-03-19,Obulis,IonFX
4.99,2009-03-19,Obulis,IonFX
9.99,2009-03-19,Space Giraffe,Llamasoft LTD
14.99,2009-03-10,Codename: Panzers - Cold War,"InnoGlow,Stormregion,THQ Nordic"
14.99,2009-03-10,Codename: Panzers - Cold War,"InnoGlow,Stormregion,THQ Nordic"
4.99,2009-04-15,Escape Rosecliff Island,SpinTop Games
19.99,2006-10-27,Guild Wars Nightfall,ArenaNet®
19.99,2006-10-27,Guild Wars Nightfall,ArenaNet®
19.99,2005-04-28,Guild Wars,ArenaNet®
19.99,2005-04-28,Guild Wars,ArenaNet®
19.99,2006-04-28,Guild Wars Factions,ArenaNet®
19.99,2006-04-28,Guild Wars Factions,ArenaNet®
29.99,2008-09-25,Guild Wars Trilogy,ArenaNet®
29.99,2008-09-25,Guild Wars Trilogy,ArenaNet®
14.99,2009-04-16,Puzzle Kingdoms,Infinite Interactive
9.99,2009-04-29,Samantha Swift and the Golden Touch,MumboJumbo
9.99,2009-04-30,Two Worlds Epic Edition,Reality Pump Studios
9.99,2009-04-30,Helldorado,Spellbound
9.99,2009-02-10,X-Blades,Gaijin Entertainment
9.99,2009-02-10,X-Blades,Gaijin Entertainment
9.99,2009-02-10,X-Blades,Gaijin Entertainment
9.99,2009-04-21,Zeno Clash,ACE Team
9.99,2009-04-21,Zeno Clash,ACE Team
1.25,2009-04-29,The Maw: Speeder Lane,Twisted Pixel Games
6.99,2008-09-23,King's Bounty: The Legend,1C Company
6.99,2008-09-23,King's Bounty: The Legend,1C Company
9.99,2009-05-06,Virtual Families,Last Day of Work
9.99,2009-05-06,Virtual Families,Last Day of Work
2.99,2009-05-06,Death Track®: Resurrection,Sky Fallen
4.99,2005-03-08,Freedom Force vs. the Third Reich,Irrational Games
4.99,2005-03-08,Freedom Force vs. the Third Reich,Irrational Games
4.99,2002-03-26,Freedom Force,Irrational Games
4.99,2002-03-26,Freedom Force,Irrational Games
14.99,2009-06-04,Light of Altair,SaintXi
14.99,2009-06-04,Light of Altair,SaintXi
14.99,2009-06-04,Light of Altair,SaintXi
0.0,2009-06-09,Darkest Hour: Europe '44-'45,Darklight Games
0.0,2009-06-09,Darkest Hour: Europe '44-'45,Darklight Games
19.99,2009-06-10,Prototype™,Radical Entertainment
19.99,2009-06-10,Prototype™,Radical Entertainment
4.99,2004-04-30,Port Royale 2,Ascaron Entertainment ltd.
14.99,2007-09-11,The Elder Scrolls IV: Oblivion® Game of the Year Edition,Bethesda Game Studios
14.99,2002-04-29,The Elder Scrolls III: Morrowind® Game of the Year Edition,Bethesda Game Studios
4.99,2007-05-18,Ankh 2: Heart of Osiris,Deck 13
9.99,1999-09-01,Armored Fist 3,NovaLogic
9.99,1998-09-07,MiG-29 Fulcrum,NovaLogic
4.99,2008-09-15,BC Kings,Mascot Entertainment
9.99,2009-06-30,Call of Juarez®: Bound in Blood,Techland
6.99,2007-10-01,Nancy Drew®: Legend of the Crystal Skull,HeR Interactive
6.99,2006-10-01,Nancy Drew®: The Creature of Kapu Cave,HeR Interactive
6.99,2008-07-01,Nancy Drew®: The Phantom of Venice,HeR Interactive
6.99,2007-07-01,Nancy Drew®: The White Wolf of Icicle Creek,HeR Interactive
0.0,2008-12-24,BRAINPIPE: A Plunge to Unhumanity,Digital Eel
0.0,2008-12-24,BRAINPIPE: A Plunge to Unhumanity,Digital Eel
19.99,2009-07-07,Tales of Monkey Island Complete Pack,Telltale Games
19.99,2009-07-07,Street Fighter® IV,Capcom
9.99,2007-10-09,Thrillville®: Off the Rails™,Frontier
9.99,2007-10-09,Thrillville®: Off the Rails™,Frontier
9.99,2007-10-09,Thrillville®: Off the Rails™,Frontier
9.99,2007-10-09,Thrillville®: Off the Rails™,Frontier
9.99,2007-10-09,Thrillville®: Off the Rails™,Frontier
5.99,1992-06-01,Indiana Jones® and the Fate of Atlantis™,LucasArts
5.99,2003-12-02,Armed and Dangerous®,Planet Moon Studios
9.99,2005-11-01,"Star Wars: Battlefront 2 (Classic, 2005)",Pandemic Studios
5.99,1989-07-01,Indiana Jones® and the Last Crusade™,LucasArts
19.99,2008-06-03,LEGO® Indiana Jones™: The Original Adventures,Traveller's Tales
19.99,2008-06-03,LEGO® Indiana Jones™: The Original Adventures,Traveller's Tales
9.99,2009-07-15,The Secret of Monkey Island: Special Edition,LucasArts
12.99,2008-11-20,Warfare,GFI Russia
9.99,2009-06-02,Clutch,Targem Games
9.99,2009-06-02,Clutch,Targem Games
6.99,2009-07-21,Nancy Drew®: Ransom of the Seven Ships,HeR Interactive
9.99,2006-12-20,3D Ultra™ Minigolf Adventures,Wanako Games
19.99,2006-09-01,King's Quest™ Collection,Sierra
19.99,2007-10-30,TimeShift™,Saber Interactive
19.99,2006-09-01,Space Quest™ Collection,Sierra
7.99,2009-07-24,Killing Floor Outbreak Character Pack,Tripwire Interactive
9.99,2008-06-04,Aces of the Galaxy™,Artech Studios
9.99,2008-06-04,Aces of the Galaxy™,Artech Studios
6.99,2009-07-24,Tropico Reloaded,"PopTop Software,BreakAway Games,Frog City Software"
6.99,2009-07-24,Tropico Reloaded,"PopTop Software,BreakAway Games,Frog City Software"
