sentiment_analysis,items_count,price,genres
2,60,19.99,Indie
2,65,19.99,Indie
0,168,19.99,Indie
2,80,19.99,Indie
2,34,19.99,Indie
2,0,19.99,Indie
2,112,19.99,Indie
2,96,19.99,Indie
2,268,19.99,Indie
2,195,19.99,Indie
2,0,19.99,Indie
2,131,19.99,Indie
2,75,19.99,Indie
2,33,19.99,Indie
2,62,19.99,Indie
2,29,19.99,Indie
2,365,19.99,Indie
2,70,19.99,Indie
0,46,19.99,Indie
2,73,19.99,Indie
2,56,19.99,Indie
2,27,19.99,Indie
0,54,19.99,Indie
2,229,19.99,Indie
2,53,19.99,Indie
2,131,19.99,Indie
2,244,19.99,Indie
2,87,19.99,Indie
2,160,19.99,Indie
2,63,19.99,Indie
2,99,19.99,Indie
2,51,19.99,Indie
2,20,19.99,Indie
2,77,19.99,Indie
2,146,19.99,Indie
0,30,19.99,Indie
2,252,19.99,Indie
2,53,19.99,Indie
2,65,19.99,Indie
2,65,19.99,Indie
0,68,19.99,Indie
2,106,19.99,Indie
2,107,19.99,Indie
2,0,19.99,Indie
2,81,19.99,Indie
2,87,19.99,Indie
2,512,19.99,Indie
2,76,19.99,Indie
2,54,19.99,Indie
2,79,19.99,Indie
2,67,19.99,Indie
2,26,19.99,Indie
2,193,19.99,Indie
0,281,19.99,Indie
2,106,19.99,Indie
2,114,19.99,Indie
2,21,19.99,Indie
2,107,19.99,Indie
2,153,19.99,Indie
2,15,19.99,Indie
2,366,19.99,Indie
0,96,19.99,Indie
2,63,19.99,Indie
2,28,19.99,Indie
0,0,19.99,Indie
0,41,19.99,Indie
2,87,19.99,Indie
2,367,19.99,Indie
2,285,19.99,Indie
2,86,19.99,Indie
2,172,19.99,Indie
2,41,19.99,Indie
2,154,19.99,Indie
2,19,19.99,Indie
2,16,19.99,Indie
2,49,19.99,Indie
2,325,19.99,Indie
2,59,19.99,Indie
2,0,19.99,Indie
2,0,19.99,Indie
2,42,19.99,Indie
2,0,9.99,Adventure
2,189,9.99,Adventure
2,212,9.99,Adventure
2,99,9.99,Adventure
2,66,9.99,Adventure
2,408,9.99,Adventure
0,129,9.99,Adventure
0,50,9.99,Adventure
2,118,9.99,Adventure
2,0,9.99,Adventure
2,396,9.99,Adventure
2,7,9.99,Adventure
2,273,9.99,Adventure
2,148,9.99,Adventure
0,361,9.99,Adventure
0,109,9.99,Adventure
0,226,9.99,Adventure
2,130,9.99,Adventure
2,59,9.99,Adventure
2,0,9.99,Adventure
2,91,9.99,Adventure
2,604,9.99,Adventure
2,97,9.99,Adventure
2,191,9.99,Adventure
2,53,9.99,Adventure
2,118,9.99,Adventure
2,111,9.99,Adventure
2,57,9.99,Adventure
0,315,9.99,Adventure
2,75,9.99,Adventure
2,85,9.99,Adventure
2,321,9.99,Adventure
2,256,9.99,Adventure
2,95,9.99,Adventure
2,83,9.99,Adventure
2,51,9.99,Adventure
2,465,9.99,Adventure
2,69,9.99,Adventure
2,188,9.99,Adventure
0,133,9.99,Adventure
2,92,9.99,Adventure
2,117,9.99,Adventure
2,0,9.99,Adventure
2,33,9.99,Adventure
2,55,9.99,Adventure
2,337,9.99,Adventure
2,106,9.99,Adventure
0,71,9.99,Adventure
2,83,9.99,Adventure
2,137,9.99,Adventure
0,190,9.99,Adventure
2,0,9.99,Adventure
2,732,9.99,Adventure
2,2018,9.99,Adventure
0,53,9.99,Adventure
2,50,9.99,Adventure
2,231,9.99,Adventure
0,44,9.99,Adventure
2,0,9.99,Adventure
2,78,9.99,Adventure
2,128,9.99,Adventure
2,94,9.99,Adventure
2,155,9.99,Adventure
2,93,9.99,Adventure
2,0,9.99,Adventure
2,57,9.99,Adventure
2,359,9.99,Adventure
2,39,9.99,Adventure
0,35,9.99,Adventure
2,40,9.99,Adventure
0,54,9.99,Adventure
2,0,9.99,Adventure
2,54,9.99,Adventure
2,0,9.99,Adventure
2,0,9.99,Adventure
2,137,9.99,Action
2,114,9.99,Action
2,97,9.99,Action
2,100,9.99,Action
2,208,9.99,Action
2,74,9.99,Action
2,180,9.99,Action
2,106,9.99,Action
2,99,9.99,Action
2,192,9.99,Action
2,56,9.99,Action
0,232,9.99,Action
2,57,9.99,Action
2,1144,9.99,Action
2,129,9.99,Action
2,81,9.99,Action
2,49,9.99,Action
2,148,9.99,Action
2,254,9.99,Action
2,567,9.99,Action
2,108,9.99,Action
0,77,9.99,Action
2,0,9.99,Action
2,262,9.99,Action
2,214,9.99,Action
2,193,9.99,Action
2,0,9.99,Action
2,82,9.99,Action
2,1311,9.99,Action
2,54,9.99,Action
2,260,9.99,Action
2,105,9.99,Action
2,133,9.99,Action
2,1617,9.99,Action
2,353,9.99,Action
2,129,9.99,Action
2,213,9.99,Action
0,129,9.99,Action
2,108,9.99,Action
2,273,9.99,Action
2,103,9.99,Action
0,582,9.99,Action
2,155,9.99,Action
2,72,9.99,Action
2,0,9.99,Action
2,214,9.99,Action
2,154,9.99,Action
2,91,9.99,Action
2,89,9.99,Action
2,284,9.99,Action
2,124,9.99,Action
2,38,9.99,Action
2,185,9.99,Action
2,133,9.99,Action
2,65,9.99,Action
2,70,9.99,Action
2,33,9.99,Action
0,59,9.99,Action
2,35,9.99,Action
0,119,9.99,Action
2,82,9.99,Action
2,69,9.99,Action
2,72,9.99,Action
2,74,9.99,Action
2,142,9.99,Action
2,96,9.99,Action
2,107,9.99,Action
0,206,9.99,Action
0,138,9.99,Action
2,131,9.99,Action
2,81,9.99,Action
2,113,9.99,Action
2,177,9.99,Action
2,92,9.99,Action
2,205,9.99,Action
2,55,9.99,Action
2,515,9.99,Action
2,343,9.99,Action
2,152,9.99,Action
2,152,9.99,Action
2,289,9.99,Action
2,91,9.99,Action
2,144,9.99,Action
2,147,9.99,Action
2,285,9.99,Action
2,88,9.99,Action
2,169,9.99,Action
0,433,9.99,Action
0,482,9.99,Action
2,374,9.99,Action
2,0,9.99,Action
0,25,9.99,Action
2,126,9.99,Action
2,241,9.99,Action
2,106,9.99,Action
2,62,9.99,Action
0,132,9.99,Action
2,48,9.99,Action
0,32,9.99,Action
2,0,9.99,Action
2,77,9.99,Action
2,131,9.99,Action
2,45,9.99,Action
2,44,9.99,Action
2,94,9.99,Action
2,109,9.99,Action
2,0,9.99,Action
2,86,9.99,Action
2,176,9.99,Action
2,52,9.99,Action
2,226,9.99,Action
2,35,9.99,Action
2,87,9.99,Action
2,0,9.99,Action
2,64,9.99,Action
2,218,9.99,Action
2,64,9.99,Action
0,104,19.99,Action
2,148,19.99,Action
2,675,19.99,Action
2,64,19.99,Action
2,88,19.99,Action
2,42,19.99,Action
2,105,19.99,Action
2,281,19.99,Action
2,134,19.99,Action
2,0,19.99,Action
2,0,19.99,Action
2,29,19.99,Action
2,0,19.99,Action
0,427,19.99,Action
2,549,19.99,Action
2,336,19.99,Action
2,344,19.99,Action
2,166,19.99,Action
2,482,19.99,Action
2,185,19.99,Action
2,390,19.99,Action
2,167,19.99,Action
2,148,19.99,Action
2,188,19.99,Action
2,105,19.99,Action
2,0,19.99,Action
2,309,19.99,Action
2,0,19.99,Action
2,82,19.99,Action
2,659,19.99,Action
2,91,19.99,Action
0,27,19.99,Action
2,169,19.99,Action
2,279,19.99,Action
2,44,19.99,Action
2,112,19.99,Action
2,40,19.99,Action
2,102,19.99,Action
2,14,19.99,Action
2,6,19.99,Action
2,128,6.99,Action
2,383,6.99,Action
2,58,9.99,Action
2,37,9.99,Action
2,523,9.99,Action
2,113,9.99,Action
2,373,14.99,Indie
2,395,14.99,Indie
2,350,14.99,Indie
2,234,14.99,Indie
0,89,14.99,Indie
2,41,14.99,Indie
2,415,14.99,Indie
2,541,24.99,Adventure
2,394,24.99,Adventure
2,214,24.99,Adventure
2,236,24.99,Adventure
2,89,24.99,Adventure
2,0,24.99,Adventure
2,138,24.99,Adventure
0,317,24.99,Adventure
2,823,24.99,Adventure
2,43,24.99,Adventure
2,202,24.99,Adventure
2,171,24.99,Adventure
2,112,24.99,Adventure
2,225,24.99,Adventure
2,160,24.99,Adventure
2,0,24.99,Adventure
2,0,24.99,Adventure
2,0,24.99,Adventure
2,217,24.99,Adventure
2,67,24.99,Adventure
2,100,24.99,Adventure
2,419,24.99,Adventure
2,260,24.99,Adventure
2,67,24.99,Adventure
2,307,24.99,Adventure
2,0,24.99,Adventure
2,154,24.99,Adventure
2,51,24.99,Adventure
2,117,24.99,Adventure
2,148,24.99,Adventure
2,27,24.99,Adventure
2,196,24.99,Adventure
2,0,24.99,Adventure
2,43,24.99,Adventure
0,191,24.99,Adventure
2,111,24.99,Adventure
2,383,24.99,Adventure
2,374,24.99,Adventure
2,85,24.99,Adventure
2,232,24.99,Adventure
2,0,24.99,Adventure
2,85,24.99,Adventure
0,496,24.99,Adventure
2,95,24.99,Adventure
2,109,24.99,Adventure
2,59,24.99,Adventure
2,99,24.99,Adventure
2,0,24.99,Adventure
2,123,24.99,Adventure
0,215,24.99,Adventure
2,101,24.99,Adventure
2,66,24.99,Adventure
2,250,24.99,Adventure
2,121,24.99,Adventure
2,22,24.99,Adventure
2,174,24.99,Adventure
2,0,24.99,Adventure
2,0,24.99,Adventure
2,168,24.99,Adventure
2,109,24.99,Adventure
2,76,24.99,Adventure
2,117,24.99,Adventure
2,0,24.99,Adventure
2,63,24.99,Adventure
2,86,19.99,RPG
2,0,19.99,RPG
2,149,19.99,RPG
2,135,19.99,RPG
0,142,19.99,RPG
2,276,19.99,RPG
2,43,19.99,RPG
0,72,19.99,RPG
2,62,19.99,RPG
0,577,19.99,RPG
2,0,19.99,RPG
0,285,19.99,RPG
2,278,19.99,RPG
2,125,19.99,RPG
2,68,19.99,RPG
2,69,19.99,RPG
2,188,19.99,RPG
2,120,19.99,RPG
2,500,19.99,RPG
0,481,19.99,RPG
2,285,19.99,RPG
0,84,19.99,RPG
2,128,19.99,RPG
2,61,19.99,RPG
0,243,19.99,RPG
2,33,19.99,RPG
2,0,19.99,RPG
2,51,19.99,RPG
2,778,19.99,RPG
2,52,19.99,RPG
2,73,19.99,RPG
2,0,19.99,RPG
2,0,19.99,RPG
2,155,19.99,RPG
0,0,19.99,RPG
0,0,19.99,Action
2,203,19.99,Action
2,45,19.99,Action
2,73,19.99,Action
2,207,19.99,Action
2,0,19.99,Action
2,87,19.99,Action
0,193,19.99,Action
2,223,19.99,Action
2,81,19.99,Action
2,214,19.99,Action
2,1777,19.99,Action
2,0,19.99,Action
0,0,19.99,Action
2,223,19.99,Action
2,29,19.99,Action
2,154,19.99,Action
2,250,19.99,Action
2,129,19.99,Action
0,0,19.99,Action
2,0,19.99,Action
2,228,19.99,Action
2,284,19.99,Action
2,2691,19.99,Action
2,58,19.99,Action
2,157,19.99,Action
2,222,19.99,Action
2,274,19.99,Action
2,132,19.99,Action
2,105,19.99,Action
2,87,19.99,Action
2,184,19.99,Action
2,59,19.99,Action
2,92,19.99,Action
2,113,19.99,Action
2,93,19.99,Action
2,89,19.99,Action
0,117,19.99,Action
2,68,19.99,Action
2,24,19.99,Action
2,29,19.99,Action
2,378,19.99,Action
2,75,19.99,Action
2,45,19.99,Action
2,215,0.0,Action
2,54,0.0,Action
0,1371,0.0,Action
0,125,0.0,Action
2,128,0.0,Action
2,68,0.0,Action
2,0,0.0,Action
2,47,0.0,Action
2,166,0.0,Action
2,159,0.0,Action
0,220,0.0,Action
0,0,0.0,Action
2,276,0.0,Action
2,200,0.0,Action
2,85,0.0,Action
2,202,0.0,Action
2,0,0.0,Action
2,277,0.0,Action
2,65,0.0,Action
2,314,0.0,Action
0,213,0.0,Action
2,158,0.0,Action
2,0,0.0,Action
2,108,0.0,Action
2,0,0.0,Action
0,58,0.0,Action
2,67,0.0,Action
2,46,0.0,Action
0,89,0.0,Action
0,252,0.0,Action
2,0,0.0,Action
2,154,0.0,Action
2,100,0.0,Action
2,104,0.0,Action
0,245,0.0,Action
2,71,0.0,Action
2,73,0.0,Action
2,25,0.0,Action
2,181,0.0,Action
2,171,0.0,Action
2,0,24.99,Adventure
0,123,24.99,Adventure
2,126,24.99,Adventure
2,412,24.99,Adventure
2,0,24.99,Adventure
2,212,24.99,Adventure
2,115,24.99,Adventure
2,386,24.99,Adventure
2,219,24.99,Adventure
2,160,24.99,Adventure
2,304,24.99,Adventure
2,124,24.99,Adventure
2,62,24.99,Adventure
0,154,24.99,Adventure
2,33,24.99,Adventure
2,50,24.99,Adventure
2,133,24.99,Adventure
2,97,24.99,Adventure
0,89,24.99,Adventure
2,397,24.99,Adventure
2,197,24.99,Adventure
2,312,24.99,Adventure
2,43,24.99,Adventure
2,0,24.99,Adventure
2,470,24.99,Adventure
0,203,24.99,Adventure
2,104,24.99,Adventure
2,0,24.99,Adventure
2,42,24.99,Adventure
2,60,24.99,Adventure
2,220,24.99,Adventure
2,153,24.99,Adventure
0,0,24.99,Adventure
2,278,24.99,Adventure
2,96,24.99,Adventure
2,326,24.99,Adventure
2,192,24.99,Adventure
0,0,24.99,Adventure
2,196,24.99,Adventure
2,191,24.99,Adventure
2,0,24.99,Adventure
2,161,24.99,Adventure
2,0,24.99,Adventure
2,65,24.99,Adventure
2,144,24.99,Adventure
2,0,24.99,Adventure
0,60,24.99,Adventure
2,367,24.99,Adventure
2,317,24.99,Adventure
2,0,24.99,Adventure
2,104,24.99,Adventure
2,138,24.99,Adventure
2,168,24.99,Adventure
0,0,24.99,Adventure
2,231,24.99,Adventure
2,70,24.99,Adventure
2,269,24.99,Adventure
2,38,24.99,Adventure
2,402,24.99,Adventure
2,405,24.99,Adventure
2,219,24.99,Adventure
2,88,24.99,Adventure
0,175,24.99,Adventure
0,192,24.99,Adventure
2,445,24.99,Adventure
0,96,24.99,Adventure
2,432,24.99,Adventure
2,36,24.99,Adventure
2,37,24.99,Adventure
2,1483,24.99,Adventure
2,85,24.99,Adventure
2,0,24.99,Adventure
2,178,24.99,Adventure
0,26,24.99,Adventure
2,127,24.99,Adventure
2,261,24.99,Adventure
2,155,24.99,Adventure
0,0,24.99,Adventure
2,96,24.99,Adventure
2,0,24.99,Adventure
2,190,24.99,Adventure
2,241,24.99,Adventure
2,180,24.99,Adventure
2,116,24.99,Adventure
2,40,24.99,Adventure
2,372,24.99,Adventure
2,190,24.99,Adventure
2,304,24.99,Adventure
2,260,24.99,Adventure
2,350,24.99,Adventure
2,449,24.99,Adventure
2,55,24.99,Adventure
2,154,24.99,Adventure
2,48,24.99,Adventure
2,39,24.99,Adventure
2,176,24.99,Adventure
2,107,24.99,Adventure
2,0,24.99,Adventure
2,307,24.99,Adventure
2,48,24.99,Adventure
0,318,24.99,Adventure
2,182,24.99,Adventure
2,166,24.99,Adventure
2,99,24.99,Adventure
2,141,24.99,Adventure
0,30,24.99,Adventure
2,91,24.99,Adventure
0,163,24.99,Adventure
2,25,24.99,Adventure
2,66,24.99,Adventure
2,88,24.99,Adventure
0,34,24.99,Adventure
2,36,24.99,Adventure
2,34,24.99,Adventure
2,28,24.99,Adventure
2,102,24.99,Adventure
2,51,24.99,Adventure
2,128,24.99,Adventure
0,75,24.99,Adventure
2,260,24.99,Adventure
0,31,24.99,Adventure
0,0,24.99,Adventure
2,16,24.99,Adventure
2,25,24.99,Adventure
2,37,24.99,Adventure
2,49,24.99,Adventure
2,7,24.99,Adventure
2,358,9.99,Action
2,144,9.99,Action
2,99,9.99,Action
2,371,9.99,Action
2,189,9.99,Action
2,63,9.99,Action
2,207,9.99,Action
2,205,9.99,Action
2,73,9.99,Action
2,0,9.99,Action
2,216,9.99,Action
2,179,9.99,Action
2,126,9.99,Action
0,0,9.99,Action
2,135,9.99,Action
0,47,9.99,Action
2,629,19.99,Action
0,385,19.99,Action
0,158,19.99,Action
2,245,19.99,Action
0,108,19.99,Action
2,41,19.99,Action
2,388,19.99,Action
2,402,19.99,Action
0,260,19.99,Action
2,420,19.99,Action
0,181,19.99,Action
2,72,19.99,Action
2,325,19.99,Action
0,202,19.99,Action
0,70,19.99,Action
2,135,19.99,Action
0,223,19.99,Action
2,58,19.99,Action
2,183,19.99,Action
2,686,19.99,Action
2,60,19.99,Action
2,338,19.99,Action
0,0,19.99,Action
0,176,19.99,Action
0,107,19.99,Action
0,137,19.99,Action
0,149,19.99,Action
2,77,19.99,Action
0,250,19.99,Action
0,222,19.99,Action
2,171,19.99,Action
2,409,19.99,Action
2,341,19.99,Action
0,42,19.99,Action
0,0,19.99,Action
2,86,19.99,Action
2,0,19.99,Action
0,235,19.99,Action
2,188,19.99,Action
2,335,19.99,Action
0,129,19.99,Action
0,138,19.99,Action
0,64,19.99,Action
0,151,19.99,Action
0,256,19.99,Action
2,111,19.99,Action
2,146,19.99,Action
0,62,19.99,Action
2,81,19.99,Action
2,58,19.99,Action
0,0,19.99,Action
0,15,19.99,Action
2,601,19.99,Action
0,105,19.99,Action
0,74,19.99,Action
2,141,19.99,Action
0,332,19.99,Action
0,146,19.99,Action
2,148,19.99,Action
2,245,19.99,Action
2,246,19.99,Action
2,62,19.99,Action
2,151,19.99,Action
2,89,19.99,Action
2,183,19.99,Action
0,188,19.99,Action
0,85,19.99,Action
0,642,19.99,Action
0,258,19.99,Action
2,61,19.99,Action
0,256,19.99,Action
2,61,19.99,Action
2,124,19.99,Action
2,171,19.99,Action
2,219,19.99,Action
0,67,19.99,Action
2,263,19.99,Action
2,100,19.99,Action
2,343,19.99,Action
2,344,19.99,Action
0,178,19.99,Action
2,283,19.99,Action
2,526,19.99,Action
0,26,19.99,Action
0,99,19.99,Action
0,0,19.99,Action
2,84,19.99,Action
0,51,19.99,Action
0,134,19.99,Action
0,0,19.99,Action
2,88,19.99,Action
2,284,19.99,Action
0,62,19.99,Action
2,159,19.99,Action
2,0,19.99,Action
0,129,19.99,Action
2,258,19.99,Action
2,130,19.99,Action
0,132,19.99,Action
0,230,19.99,Action
2,105,19.99,Action
2,23,19.99,Action
2,221,19.99,Action
0,372,19.99,Action
0,25,19.99,Action
0,173,19.99,Action
2,28,19.99,Action
2,26,19.99,Action
2,76,19.99,Action
2,177,19.99,Action
2,0,19.99,Action
2,207,19.99,Action
2,96,19.99,Action
0,187,19.99,Action
2,88,19.99,Action
0,179,19.99,Action
2,110,19.99,Action
0,0,19.99,Action
2,131,19.99,Action
0,113,19.99,Action
2,42,19.99,Action
2,117,19.99,Action
2,100,19.99,Action
2,437,19.99,Action
2,105,19.99,Action
2,0,19.99,Action
2,108,19.99,Action
2,188,19.99,Action
0,233,19.99,Action
2,101,19.99,Action
0,0,19.99,Action
2,48,19.99,Action
0,306,19.99,Action
2,155,19.99,Action
2,371,19.99,Action
2,184,19.99,Action
2,183,19.99,Action
2,146,19.99,Action
0,164,19.99,Action
0,97,19.99,Action
2,98,19.99,Action
2,47,19.99,Action
2,31,19.99,Action
0,45,19.99,Action
2,123,19.99,Action
2,144,19.99,Action
2,69,19.99,Action
2,43,19.99,Action
2,62,14.99,Action
2,64,14.99,Action
2,68,14.99,Action
2,112,14.99,Action
2,193,14.99,Action
2,65,14.99,Action
2,135,14.99,Action
2,0,14.99,Action
2,267,14.99,Action
2,95,14.99,Action
2,177,14.99,Action
0,0,14.99,Action
2,89,14.99,Action
2,100,14.99,Action
2,389,14.99,Action
2,212,14.99,Action
2,96,14.99,Action
2,275,14.99,Action
2,50,14.99,Action
2,0,14.99,Action
2,72,14.99,Action
2,118,14.99,Action
2,104,14.99,Action
2,143,14.99,Action
2,0,14.99,Action
2,50,14.99,Action
2,108,14.99,Action
2,82,14.99,Action
2,178,14.99,Action
2,279,14.99,Action
2,20,14.99,Action
2,144,14.99,Action
2,110,14.99,Action
2,93,14.99,Action
2,51,14.99,Action
0,154,14.99,Action
2,594,14.99,Action
2,64,14.99,Action
2,116,14.99,Action
2,57,14.99,Action
0,301,14.99,Action
0,358,14.99,Action
2,59,14.99,Action
2,0,14.99,Action
2,0,14.99,Action
2,216,14.99,Action
2,288,14.99,Action
2,210,14.99,Action
2,132,14.99,Action
2,335,14.99,Action
